apartment_id,apartment_nm,apartment_price,region_cd,region_nm,exclusive_area,deleted_yn,created_at,updated_at
154,e편한세상서면더센트럴,425000000,26230,부산광역시 부산진구,18,0,2024.5.22 10:19,2024.5.22 10:19
155,e편한세상서산예천,260000000,44210,충청남도 서산시,18,0,2024.5.22 10:19,2024.5.22 10:19
156,e편한세상서산테크노밸리,208000000,44210,충청남도 서산시,23,0,2024.5.22 10:19,2024.5.22 10:19
157,e편한세상서울대입구1단지,1124000000,11620,서울특별시 관악구,26,0,2024.5.22 10:19,2024.5.22 10:19
158,e편한세상선부파크플레이스1차,502000000,41273,경기도 안산시 단원구,18,0,2024.5.22 10:19,2024.5.22 10:19
159,e편한세상선부파크플레이스2차,600000000,41273,경기도 안산시 단원구,26,0,2024.5.22 10:19,2024.5.22 10:19
160,e편한세상센텀스타시티영천1블럭,285000000,47230,경상북도 영천시,26,0,2024.5.22 10:19,2024.5.22 10:19
161,e편한세상센텀스타시티영천2블럭,287000000,47230,경상북도 영천시,26,0,2024.5.22 10:19,2024.5.22 10:19
162,e편한세상송도,500000000,28185,인천광역시 연수구,21,0,2024.5.22 10:19,2024.5.22 10:19
163,e편한세상송파파크센트럴,1390000000,11710,서울특별자치시 송파구,26,0,2024.5.22 10:19,2024.5.22 10:19
164,e편한세상수지,1070000000,41465,경기도 용인시 수지구,26,0,2024.5.22 10:19,2024.5.22 10:19
165,e편한세상수택센트럴파크,750000000,41310,경기도 구리시,26,0,2024.5.22 10:19,2024.5.22 10:19
166,e편한세상순천1단지,370000000,46150,전라남도 순천시,26,0,2024.5.22 10:19,2024.5.22 10:19
167,e편한세상순천어반타워,420000000,46150,전라남도 순천시,26,0,2024.5.22 10:19,2024.5.22 10:19
168,e편한세상스마일시티,280000000,44133,충청남도 천안시 서북구,26,0,2024.5.22 10:19,2024.5.22 10:19
169,e편한세상스마일시티2차,189000000,44133,충청남도 천안시 서북구,16,0,2024.5.22 10:19,2024.5.22 10:19
170,e편한세상시민공원1단지,515000000,26230,부산광역시 부산진구,18,0,2024.5.22 10:19,2024.5.22 10:19
171,e편한세상신곡파크비스타,468000000,41150,경기도 의정부시,22,0,2024.5.22 10:19,2024.5.22 10:19
172,e편한세상신촌1단지,1470000000,11410,서울특별시 서대문구,26,0,2024.5.22 10:19,2024.5.22 10:19
173,e편한세상어양,270000000,52140,전북특별자치도 익산시,18,0,2024.5.22 10:19,2024.5.22 10:19
174,e편한세상여수더퍼스트,558000000,46130,전라남도 여수시,26,0,2024.5.22 10:19,2024.5.22 10:19
175,e편한세상여주,260000000,41670,경기도 여주시,26,0,2024.5.22 10:19,2024.5.22 10:19
176,e편한세상연산더퍼스트,605000000,26470,부산광역시 연제구,26,0,2024.5.22 10:19,2024.5.22 10:19
177,e편한세상연천웰스하임,298290000,41800,경기도 연천군,26,0,2024.5.22 10:19,2024.5.22 10:19
178,e편한세상영등포아델포레,1150000000,11560,서울특별시 영등포구,26,0,2024.5.22 10:19,2024.5.22 10:19
179,e편한세상영랑호,450000000,51210,강원특별자치도 속초시,26,0,2024.5.22 10:19,2024.5.22 10:19
180,e편한세상영종국제도시센텀베뉴,528000000,28110,인천광역시 중구,26,0,2024.5.22 10:19,2024.5.22 10:19
181,e편한세상영종국제도시오션하임,443000000,28110,인천광역시 중구,26,0,2024.5.22 10:19,2024.5.22 10:19
182,e편한세상영종하늘도시,390000000,28110,인천광역시 중구,26,0,2024.5.22 10:19,2024.5.22 10:19
183,e편한세상오산세교,367000000,41370,경기도 오산시,26,0,2024.5.22 10:19,2024.5.22 10:19
184,e편한세상옥정더퍼스트,419000000,41630,경기도 양주시,26,0,2024.5.22 10:19,2024.5.22 10:19
185,e편한세상옥정메트로포레,428000000,41630,경기도 양주시,26,0,2024.5.22 10:19,2024.5.22 10:19
186,e편한세상옥정에듀써밋,388000000,41630,경기도 양주시,20,0,2024.5.22 10:19,2024.5.22 10:19
187,e편한세상옥포아파트1단지,240000000,48310,경상남도 거제시,26,0,2024.5.22 10:19,2024.5.22 10:19
188,e편한세상용인한숲시티3단지,365000000,41461,경기도 용인시 처인구,18,0,2024.5.22 10:19,2024.5.22 10:19
189,e편한세상용인한숲시티4단지,338000000,41461,경기도 용인시 처인구,18,0,2024.5.22 10:19,2024.5.22 10:19
190,e편한세상용인한숲시티5단지,250000000,41461,경기도 용인시 처인구,13,0,2024.5.22 10:19,2024.5.22 10:19
191,e편한세상용인한숲시티6단지,355000000,41461,경기도 용인시 처인구,18,0,2024.5.22 10:19,2024.5.22 10:19
192,e편한세상울산역어반스퀘어,275000000,31710,울산광역시 울주군,18,0,2024.5.22 10:19,2024.5.22 10:19
193,e편한세상울산온양,272000000,31710,울산광역시 울주군,23,0,2024.5.22 10:19,2024.5.22 10:19
194,e편한세상인창어반포레,800000000,41310,경기도 구리시,18,0,2024.5.22 10:19,2024.5.22 10:19
195,e편한세상일광,470000000,26710,부산광역시 기장군,24,0,2024.5.22 10:19,2024.5.22 10:19
196,e편한세상장유2차,360000000,48250,경상남도 김해시,26,0,2024.5.22 10:19,2024.5.22 10:19
197,e편한세상전하2단지,385000000,31170,울산광역시 동구,26,0,2024.5.22 10:19,2024.5.22 10:19
198,e편한세상중문,390000000,50130,제주특별자치도 서귀포시,24,0,2024.5.22 10:19,2024.5.22 10:19
199,e편한세상지제역,538000000,41220,경기도 평택시,23,0,2024.5.22 10:19,2024.5.22 10:19
200,e편한세상천안부성,235000000,44133,충청남도 천안시 서북구,22,0,2024.5.22 10:19,2024.5.22 10:19
201,e편한세상초지역센트럴포레,730000000,41273,경기도 안산시 단원구,26,0,2024.5.22 10:19,2024.5.22 10:19
202,e편한세상춘천,359000000,51110,강원특별자치도 춘천시,26,0,2024.5.22 10:19,2024.5.22 10:19
203,e편한세상충주,198000000,43130,충청북도 충주시,18,0,2024.5.22 10:19,2024.5.22 10:19
204,e편한세상캐널시티,620000000,41570,경기도 김포시,26,0,2024.5.22 10:19,2024.5.22 10:19
205,e편한세상테라스오포2단지,490000000,41610,경기도 광주시,26,0,2024.5.22 10:19,2024.5.22 10:19
206,e편한세상테라스오포4단지,460000000,41610,경기도 광주시,26,0,2024.5.22 10:19,2024.5.22 10:19
207,e편한세상평내메트로원,450000000,41360,경기도 남양주시,18,0,2024.5.22 10:19,2024.5.22 10:19
208,e편한세상평택,360000000,41220,경기도 평택시,26,0,2024.5.22 10:19,2024.5.22 10:19
209,e편한세상평택용이1단지,340000000,41220,경기도 평택시,26,0,2024.5.22 10:19,2024.5.22 10:19
210,e편한세상평택용이2단지,351000000,41220,경기도 평택시,26,0,2024.5.22 10:19,2024.5.22 10:19
211,e편한세상한강신도시2차,400000000,41570,경기도 김포시,23,0,2024.5.22 10:19,2024.5.22 10:19
212,e편한세상화명힐스,620000000,26320,부산광역시 북구,31,0,2024.5.22 10:19,2024.5.22 10:19
213,e편한세상황성,368000000,47130,경상북도 경주시,26,0,2024.5.22 10:19,2024.5.22 10:19
214,가경이-편한세상,620000000,43113,충청북도 청주시 흥덕구,41,0,2024.5.22 10:19,2024.5.22 10:19
215,가경자이,524700000,43113,충청북도 청주시 흥덕구,23,0,2024.5.22 10:19,2024.5.22 10:19
216,가경주공8단지,295000000,43113,충청북도 청주시 흥덕구,26,0,2024.5.22 10:19,2024.5.22 10:19
